Komoditas,Tahun,Bulan,Harga
 Daging Sapi Murni,2022,Maret,Rp128.553
 Daging Ayam Ras,2022,Maret,Rp36.295
 Telur Ayam Ras,2022,Maret,Rp24.844
 Gula Pasir Lokal/Curah,2022,Maret,Rp14.391
 Tepung Terigu Curah,2022,Maret,Rp9.348
 Minyak Goreng Kemasan,2022,Maret,Rp20.117
 Minyak Goreng Curah,2022,Maret,-
 Jagung Tk. Peternak,2022,Maret,-
 Beras Premium,2022,April,Rp12.445
 Beras Medium,2022,April,Rp10.898
 Kedelai Biji Kering,2022,April,Rp13.485
 Bawang Merah,2022,April,Rp33.541
 Bawang Putih (Bonggol),2022,April,Rp31.123
 Cabai Merah Keriting,2022,April,Rp44.101
Cabai Rawit Merah,2022,April,Rp51.119
 Daging Sapi Murni,2022,April,Rp132.813
 Daging Ayam Ras,2022,April,Rp38.061
 Telur Ayam Ras,2022,April,Rp25.759
 Gula Pasir Lokal/Curah,2022,April,Rp14.789
 Tepung Terigu Curah,2022,April,Rp9.719
 Minyak Goreng Kemasan,2022,April,Rp24.523
 Minyak Goreng Curah,2022,April,Rp18.611
 Jagung Tk. Peternak,2022,April,-
 Beras Premium,2022,Mei,Rp12.410
 Beras Medium,2022,Mei,Rp10.847
 Kedelai Biji Kering,2022,Mei,Rp13.608
 Bawang Merah,2022,Mei,Rp38.297
 Bawang Putih (Bonggol),2022,Mei,Rp30.699
 Cabai Merah Keriting,2022,Mei,Rp43.860
Cabai Rawit Merah,2022,Mei,Rp49.009
 Daging Sapi Murni,2022,Mei,Rp135.729
 Daging Ayam Ras,2022,Mei,Rp39.175
 Telur Ayam Ras,2022,Mei,Rp27.098
 Gula Pasir Lokal/Curah,2022,Mei,Rp14.800
 Tepung Terigu Curah,2022,Mei,Rp9.854
 Minyak Goreng Kemasan,2022,Mei,Rp25.062
 Minyak Goreng Curah,2022,Mei,Rp17.758
 Jagung Tk. Peternak,2022,Mei,Rp5.482
 Beras Premium,2022,Juni,Rp12.360
 Beras Medium,2022,Juni,Rp10.779
 Kedelai Biji Kering,2022,Juni,Rp13.711
 Bawang Merah,2022,Juni,Rp48.894
 Bawang Putih (Bonggol),2022,Juni,Rp28.411
 Cabai Merah Keriting,2022,Juni,Rp65.698
Cabai Rawit Merah,2022,Juni,Rp80.021
 Daging Sapi Murni,2022,Juni,Rp134.187
 Daging Ayam Ras,2022,Juni,Rp37.755
 Telur Ayam Ras,2022,Juni,Rp28.220
 Gula Pasir Lokal/Curah,2022,Juni,Rp14.685
 Tepung Terigu Curah,2022,Juni,Rp9.989
 Minyak Goreng Kemasan,2022,Juni,Rp24.239
 Minyak Goreng Curah,2022,Juni,Rp16.784
 Jagung Tk. Peternak,2022,Juni,Rp5.457
 Beras Premium,2022,Juli,Rp12.351
 Beras Medium,2022,Juli,Rp10.777
 Kedelai Biji Kering,2022,Juli,Rp13.752
 Bawang Merah,2022,Juli,Rp57.859
 Bawang Putih (Bonggol),2022,Juli,Rp27.074
 Cabai Merah Keriting,2022,Juli,Rp76.189
Cabai Rawit Merah,2022,Juli,Rp83.160
 Daging Sapi Murni,2022,Juli,Rp134.773
 Daging Ayam Ras,2022,Juli,Rp37.183
 Telur Ayam Ras,2022,Juli,Rp28.108
 Gula Pasir Lokal/Curah,2022,Juli,Rp14.518
 Tepung Terigu Curah,2022,Juli,Rp10.296
 Minyak Goreng Kemasan,2022,Juli,Rp22.558
 Minyak Goreng Curah,2022,Juli,Rp15.325
 Jagung Tk. Peternak,2022,Juli,Rp5.345
 Beras Premium,2022,Agustus,Rp12.391
 Beras Medium,2022,Agustus,Rp10.849
 Kedelai Biji Kering,2022,Agustus,Rp13.773
 Bawang Merah,2022,Agustus,Rp40.822
 Bawang Putih (Bonggol),2022,Agustus,Rp26.541
 Cabai Merah Keriting,2022,Agustus,Rp64.255
Cabai Rawit Merah,2022,Agustus,Rp63.360
 Daging Sapi Murni,2022,Agustus,Rp133.969
 Daging Ayam Ras,2022,Agustus,Rp35.489
 Telur Ayam Ras,2022,Agustus,Rp28.834
 Gula Pasir Lokal/Curah,2022,Agustus,Rp14.401
 Tepung Terigu Curah,2022,Agustus,Rp10.507
